feature_name,group,regime_family,interaction_group
oi_expansion_compression_balance_24h,regime,perp_tradeability,regime:perp_tradeability
dist_ema20_atr,location,,location
oiw_entry_zone_1d_atr,regime,perp_tradeability,regime:perp_tradeability
dist_ema50_atr,location,,location
donchian_zone_1d_atr,regime,perp_tradeability,regime:perp_tradeability
dist_ema200_atr,location,,location
dist_oiw_intensity_96h_atr,regime,perp_tradeability,regime:perp_tradeability
oiw_pos_delta_entry_dist_1d_atr,location,,location
dist_oiw_z_delta_96h_atr,regime,perp_tradeability,regime:perp_tradeability
oiw_intensity_entry_dist_1d_atr,location,,location
oi_expansion_compression_balance_96h,regime,perp_tradeability,regime:perp_tradeability
oiw_z_delta_entry_dist_1d_atr,location,,location
dist_funding_pressure_price_96h_atr,regime,perp_tradeability,regime:perp_tradeability
dist_oiw_signed_delta_12h_atr,location,,location
bars_since_ema20_ema50_cross_log_norm,regime,trend,regime:trend
dist_oiw_abs_delta_12h_atr,location,,location
bars_outside_ema20_atr_band_log_norm,regime,volatility,regime:volatility
dist_funding_pressure_price_12h_atr,location,,location
up_down_semivol_ratio_tanh,regime,path_structure,regime:path_structure
oiw_pos_delta_entry_dist_7d_atr,location,,location
up_down_return_mass_ratio_tanh,regime,path_structure,regime:path_structure
oiw_pos_delta_entry_dist_14d_atr,location,,location
amihud_illiq,regime,liquidity,regime:liquidity
oiw_intensity_entry_dist_7d_atr,location,,location
asset_atr_level_pct,regime,asset_state,regime:asset_state
oiw_z_delta_entry_dist_7d_atr,location,,location
asset_funding_rate_abs_mean_7d,regime,perp_tradeability,regime:perp_tradeability
oiw_z_delta_entry_dist_14d_atr,location,,location
asset_funding_rate_mean_15d,regime,perp_tradeability,regime:perp_tradeability
dist_prior_day_high,location,,location
asset_funding_rate_mean_3d,regime,perp_tradeability,regime:perp_tradeability
dist_prior_day_low,location,,location
asset_funding_rate_mean_7d,regime,perp_tradeability,regime:perp_tradeability
dist_rolling_7d_high,location,,location
asset_funding_z,regime,perp_tradeability,regime:perp_tradeability
dist_local_swing,location,,location
asset_minus_mkt_oi_1d,regime,open_interest,regime:open_interest
dist_range_mid_atr,location,,location
asset_minus_mkt_oi_1d_peer_resid,regime,residual,regime:residual
dist_ma100_atr,location,,location
asset_minus_mkt_oi_1d_z_90d,regime,open_interest,regime:open_interest
distance_to_ema,location,,location
asset_minus_mkt_oi_7d,regime,open_interest,regime:open_interest
pullback_depth,location,,location
asset_vol_level_pct,regime,asset_state,regime:asset_state
zscore_price_50,location,,location
atr_compression_ratio,regime,volatility_term_structure,regime:volatility_term_structure
zscore_price_200,location,,location
atr_percentile,regime,compression,regime:compression
loc_ema_stack_pos_24,location,,location
blowoff_risk_surprise,regime,residual,regime:residual
loc_ema_stack_pos_48,location,,location
bollinger_band_width,regime,compression,regime:compression
loc_range_pos_24,location,,location
chop_score_surprise,regime,residual,regime:residual
loc_range_pos_48,location,,location
choppiness_index_20,regime,path_structure,regime:path_structure
loc_prior_bar_pos_24,location,,location
compression_ratio,regime,volatility_term_structure,regime:volatility_term_structure
loc_prior_bar_pos_48,location,,location
compression_score,regime,volatility_term_structure,regime:volatility_term_structure
loc_swing_range_pos_24,location,,location
cs_rank_oi_value_z_30d,regime,open_interest,regime:open_interest
loc_swing_range_pos_48,location,,location
direction_entropy_20,regime,path_structure,regime:path_structure
loc_session_pos_24,location,,location
efficiency_ratio_20,regime,path_structure,regime:path_structure
loc_session_pos_48,location,,location
ema50_slope,regime,trend,regime:trend
loc_initial_balance_pos_24,location,,location
ema_slope_norm,regime,trend,regime:trend
loc_initial_balance_pos_48,location,,location
exh_qual_surprise,regime,residual,regime:residual
loc_prev_day_range_pos_24,location,,location
fund_abs_z_mkt_resid,regime,residual,regime:residual
loc_prev_day_range_pos_48,location,,location
fund_rate_z_14d,regime,funding,regime:funding
loc_prev_week_range_pos_24,location,,location
funding_1d_chg_peer_resid,regime,residual,regime:residual
loc_prev_week_range_pos_48,location,,location
funding_abs_z,regime,funding,regime:funding
loc_bb_channel_pos_24,location,,location
funding_mean_10d_robust_z,regime,open_interest,regime:open_interest
loc_bb_channel_pos_48,location,,location
funding_mean_15d_robust_z,regime,open_interest,regime:open_interest
loc_pullback_depth_24,location,,location
funding_mean_7d_robust_z,regime,open_interest,regime:open_interest
loc_pullback_depth_48,location,,location
funding_mom_w,regime,funding,regime:funding
loc_pivot_ladder_pos_24,location,,location
funding_per_hour,regime,funding,regime:funding
loc_pivot_ladder_pos_48,location,,location
funding_per_hour_mkt_resid,regime,residual,regime:residual
bars_in_high_vol_state_log_norm,location,,location
funding_per_hour_z,regime,funding,regime:funding
funding_persistence,regime,funding,regime:funding
funding_rank_30d,regime,funding,regime:funding
funding_rate,regime,funding,regime:funding
funding_vol_10d_robust_z,regime,open_interest,regime:open_interest
funding_vol_15d_robust_z,regime,open_interest,regime:open_interest
funding_vol_7d_robust_z,regime,open_interest,regime:open_interest
funding_z,regime,funding,regime:funding
grind_score_surprise,regime,residual,regime:residual
leverage_build,regime,crowding,regime:crowding
leverage_build_score,regime,crowding,regime:crowding
log_oi_to_volume_1d,regime,open_interest,regime:open_interest
log_oi_to_volume_7d,regime,open_interest,regime:open_interest
oi_rank,regime,open_interest,regime:open_interest
oi_to_volume_1d_z_90d,regime,open_interest,regime:open_interest
oi_trend_10d_robust_z,regime,open_interest,regime:open_interest
oi_trend_7d_robust_z,regime,open_interest,regime:open_interest
oi_value_log_1d_robust_z,regime,open_interest,regime:open_interest
oi_value_log_7d_robust_z,regime,open_interest,regime:open_interest
oi_value_z_30d,regime,open_interest,regime:open_interest
oi_value_z_90d,regime,open_interest,regime:open_interest
oi_vol_10d_robust_z,regime,open_interest,regime:open_interest
oi_vol_15d_robust_z,regime,open_interest,regime:open_interest
oi_vol_7d_robust_z,regime,open_interest,regime:open_interest
oi_z,regime,open_interest,regime:open_interest
overext_surprise,regime,residual,regime:residual
price_rv_10d_robust_z,regime,open_interest,regime:open_interest
price_rv_15d_robust_z,regime,open_interest,regime:open_interest
price_rv_7d_robust_z,regime,open_interest,regime:open_interest
price_trend_10d_vol_norm,regime,open_interest,regime:open_interest
price_trend_15d_vol_norm,regime,open_interest,regime:open_interest
price_trend_7d_vol_norm,regime,open_interest,regime:open_interest
prior_range,regime,context,regime:context
prior_volatility,regime,context,regime:context
range_24h_pct,regime,compression,regime:compression
range_expansion_ratio,regime,volatility_term_structure,regime:volatility_term_structure
range_per_funding_abs_z_24h,regime,perp_tradeability,regime:perp_tradeability
return_autocorr_48,regime,momentum,regime:momentum
rolling_range_20,regime,compression,regime:compression
rvol_z_peer_resid,regime,residual,regime:residual
spectral_entropy_ret_24,regime,path_structure,regime:path_structure
spike_score_surprise,regime,residual,regime:residual
trend_acceleration,regime,trend,regime:trend
true_range_percentile,regime,volatility,regime:volatility
variance_ratio_10_48,regime,volatility,regime:volatility
vol_z_peer_resid,regime,residual,regime:residual
volume_autocorr_48,regime,liquidity,regime:liquidity
volume_entropy_24,regime,liquidity,regime:liquidity
volume_percentile,regime,liquidity,regime:liquidity
volume_price_corr_ts_resid,regime,residual,regime:residual
volume_trend_48,regime,liquidity,regime:liquidity
volume_zscore_48h,regime,liquidity,regime:liquidity
