fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,0.483816,1.0
0,42,dist_prior_day_low,location,,context,0.319807,2.0
0,42,dist_rolling_7d_high,location,,context,0.952607,1.0
0,42,direction_entropy_20,regime,path_structure,path_structure,0.426212,1.0
0,42,loc_vwap_dev_z_48,location,,liquidity,1.35851,1.0
0,42,loc_range_pos_24,location,,context,1.71769,1.0
0,42,variance_ratio_10_48,regime,volatility,volatility,2.24439,2.0
1,42,bars_since_ema20_ema50_cross_log_norm,regime,trend,trend,0.684488,1.0
1,42,dist_ema20_atr,location,,context,0.583331,1.0
1,42,bars_outside_ema20_atr_band_log_norm,regime,volatility,volatility,0.829716,1.0
1,42,dist_ema200_atr,location,,context,2.841563,3.0
1,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,1.40317,1.0
1,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,1.78739,1.0
1,42,dist_weekly_vwap,location,,context,1.22171,2.0
1,42,atr_compression_ratio,regime,volatility_term_structure,volatility_term_structure,0.334458,1.0
1,42,dist_prior_day_high,location,,context,0.600018,1.0
1,42,dist_prior_day_low,location,,context,5.400471,3.0
1,42,dist_rolling_7d_high,location,,context,2.8949,2.0
1,42,compression_score,regime,volatility_term_structure,volatility_term_structure,2.9088535,4.0
1,42,dist_ma100_atr,location,,context,3.5619402,2.0
1,42,direction_entropy_20,regime,path_structure,path_structure,2.03868,1.0
1,42,zscore_price_50,location,,context,2.5904872,2.0
1,42,ema50_slope,regime,trend,trend,2.115443,2.0
1,42,zscore_price_200,location,,context,0.0262356,1.0
1,42,loc_ema_stack_pos_48,location,,trend,0.300468,1.0
1,42,prior_volatility,regime,context,context,0.383748,1.0
1,42,range_expansion_ratio,regime,volatility_term_structure,volatility_term_structure,1.25856,1.0
1,42,loc_vwap_dev_z_48,location,,liquidity,0.0455975,1.0
1,42,loc_range_pos_24,location,,context,0.533793,2.0
1,42,return_autocorr_48,regime,momentum,momentum,0.420375,2.0
1,42,loc_range_pos_48,location,,context,0.486852,1.0
1,42,rolling_range_20,regime,compression,compression,1.39102,1.0
1,42,loc_prior_bar_pos_24,location,,context,0.708767,1.0
1,42,trend_acceleration,regime,trend,trend,0.597346,1.0
1,42,loc_prior_bar_pos_48,location,,context,1.07114,1.0
1,42,true_range_percentile,regime,volatility,volatility,1.635083,3.0
1,42,loc_swing_range_pos_24,location,,context,0.481901,1.0
1,42,loc_swing_range_pos_48,location,,context,2.40472,1.0
1,42,volatility_ratio_short_long,regime,volatility,volatility,0.1450059,2.0
1,42,loc_session_pos_24,location,,context,0.745525,2.0
1,42,volume_autocorr_48,regime,liquidity,liquidity,4.797442,3.0
1,42,loc_session_pos_48,location,,context,0.891806,1.0
1,42,loc_initial_balance_pos_24,location,,context,1.10431,1.0
1,42,loc_initial_balance_pos_48,location,,context,0.893535,1.0
1,42,volume_zscore_48h,regime,liquidity,liquidity,0.250435,1.0
1,42,loc_prev_day_range_pos_24,location,,context,2.3497188,4.0
1,42,loc_prev_week_range_pos_24,location,,context,1.736151,3.0
1,42,loc_prev_week_range_pos_48,location,,context,0.54998,1.0
1,42,loc_bb_channel_pos_24,location,,compression,0.688809,2.0
1,42,loc_bb_channel_pos_48,location,,compression,0.842405,1.0
1,42,loc_pullback_depth_24,location,,path_structure,1.46909,1.0
