feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
bars_since_ema20_ema50_cross_log_norm,regime,bars_since_ema20_ema50_cross_log_norm,trend,30,63,0,True,True,False
dist_ema20_atr,location,dist_ema20_atr,context,38,79,0,True,True,False
bars_outside_ema20_atr_band_log_norm,regime,bars_outside_ema20_atr_band_log_norm,volatility,24,40,0,True,True,False
dist_ema50_atr,location,dist_ema50_atr,context,21,49,0,True,True,False
up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,32,46,0,True,True,False
dist_ema200_atr,location,dist_ema200_atr,context,26,55,0,True,True,False
up_down_return_mass_ratio_tanh,regime,up_down_return_mass_ratio_tanh,path_structure,16,23,0,True,True,False
dist_vwap_atr,location,dist_vwap_atr,context,28,45,0,True,True,False
tail_asymmetry_q90_q10_atr_norm,regime,tail_asymmetry_q90_q10_atr_norm,path_structure,35,60,0,True,True,False
dist_weekly_vwap,location,dist_weekly_vwap,context,24,47,0,True,True,False
atr_compression_ratio,regime,atr_compression_ratio,volatility_term_structure,30,50,0,True,True,False
dist_prior_day_high,location,dist_prior_day_high,context,32,54,0,True,True,False
atr_percentile,regime,atr_percentile,compression,27,33,0,True,True,False
dist_prior_day_low,location,dist_prior_day_low,context,38,68,0,True,True,False
bollinger_band_width,regime,bollinger_band_width,compression,29,36,0,True,True,False
dist_rolling_7d_high,location,dist_rolling_7d_high,context,32,51,0,True,True,False
choppiness_index_20,regime,choppiness_index_20,path_structure,32,62,0,True,True,False
dist_local_swing,location,dist_local_swing,context,23,51,0,True,True,False
compression_ratio,regime,compression_ratio,volatility_term_structure,26,48,0,True,True,False
dist_range_mid_atr,location,dist_range_mid_atr,context,28,68,0,True,True,False
compression_score,regime,compression_score,volatility_term_structure,26,34,0,True,True,False
dist_ma100_atr,location,dist_ma100_atr,context,27,50,0,True,True,False
direction_entropy_20,regime,direction_entropy_20,path_structure,33,53,0,True,True,False
distance_to_ema,location,distance_to_ema,context,20,42,0,True,True,False
efficiency_ratio_20,regime,efficiency_ratio_20,path_structure,25,52,0,True,True,False
pullback_depth,location,pullback_depth,context,37,65,0,True,True,False
ema20_slope_5h,regime,ema20_slope_5h,trend,24,44,0,True,True,False
zscore_price_50,location,zscore_price_50,context,25,50,0,True,True,False
ema50_slope,regime,ema50_slope,trend,27,43,0,True,True,False
zscore_price_200,location,zscore_price_200,context,22,36,0,True,True,False
ema_slope_norm,regime,ema_slope_norm,trend,33,59,0,True,True,False
loc_ema_stack_pos_24,location,loc_ema_stack_pos_24,trend,28,40,0,True,True,False
prior_range,regime,prior_range,context,39,51,0,True,True,False
loc_ema_stack_pos_48,location,loc_ema_stack_pos_48,trend,27,36,0,True,True,False
prior_volatility,regime,prior_volatility,context,26,51,0,True,True,False
loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,32,63,0,True,True,False
range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,29,46,0,True,True,False
loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,29,54,0,True,True,False
realized_volatility_24h,regime,realized_volatility_24h,volatility,18,44,0,True,True,False
loc_range_pos_24,location,loc_range_pos_24,context,25,41,0,True,True,False
return_autocorr_48,regime,return_autocorr_48,momentum,29,43,0,True,True,False
loc_range_pos_48,location,loc_range_pos_48,context,29,42,0,True,True,False
rolling_range_20,regime,rolling_range_20,compression,38,74,0,True,True,False
loc_prior_bar_pos_24,location,loc_prior_bar_pos_24,context,26,37,0,True,True,False
trend_acceleration,regime,trend_acceleration,trend,27,42,0,True,True,False
loc_prior_bar_pos_48,location,loc_prior_bar_pos_48,context,31,65,0,True,True,False
true_range_percentile,regime,true_range_percentile,volatility,34,52,0,True,True,False
loc_swing_range_pos_24,location,loc_swing_range_pos_24,context,45,52,0,True,True,False
variance_ratio_10_48,regime,variance_ratio_10_48,volatility,30,38,0,True,True,False
loc_swing_range_pos_48,location,loc_swing_range_pos_48,context,31,50,0,True,True,False
volatility_ratio_short_long,regime,volatility_ratio_short_long,volatility,22,31,0,True,True,False
loc_session_pos_24,location,loc_session_pos_24,context,19,44,0,True,True,False
volume_autocorr_48,regime,volume_autocorr_48,liquidity,37,66,0,True,True,False
loc_session_pos_48,location,loc_session_pos_48,context,27,49,0,True,True,False
volume_percentile,regime,volume_percentile,liquidity,24,37,0,True,True,False
loc_initial_balance_pos_24,location,loc_initial_balance_pos_24,context,21,41,0,True,True,False
volume_trend_48,regime,volume_trend_48,liquidity,25,49,0,True,True,False
loc_initial_balance_pos_48,location,loc_initial_balance_pos_48,context,21,38,0,True,True,False
volume_zscore_48h,regime,volume_zscore_48h,liquidity,21,34,0,True,True,False
loc_prev_day_range_pos_24,location,loc_prev_day_range_pos_24,context,21,25,0,True,True,False
loc_prev_day_range_pos_48,location,loc_prev_day_range_pos_48,context,24,38,0,True,True,False
loc_prev_week_range_pos_24,location,loc_prev_week_range_pos_24,context,32,55,0,True,True,False
loc_prev_week_range_pos_48,location,loc_prev_week_range_pos_48,context,19,31,0,True,True,False
loc_bb_channel_pos_24,location,loc_bb_channel_pos_24,compression,21,41,0,True,True,False
loc_bb_channel_pos_48,location,loc_bb_channel_pos_48,compression,32,48,0,True,True,False
loc_pullback_depth_24,location,loc_pullback_depth_24,path_structure,25,36,0,True,True,False
loc_pullback_depth_48,location,loc_pullback_depth_48,path_structure,25,52,0,True,True,False
loc_pivot_ladder_pos_24,location,loc_pivot_ladder_pos_24,context,41,83,0,True,True,False
loc_pivot_ladder_pos_48,location,loc_pivot_ladder_pos_48,context,26,52,0,True,True,False
bars_in_high_vol_state_log_norm,location,bars_in_high_vol_state_log_norm,context,18,36,0,True,True,False
